gs_citations,is_intro_pres,is_meth_pres,is_res_pres,no_images,no_tables,no_alg,no_equations,fund_avail,accept_avail,suppl_info,link_to_code,target,index_terms
1,1,1,0,10,2,0,0,0,1,0,1,1,"Security and privacy, Systems security, Operating systems security, Software and its engineering, Software organization and properties, Contextual software domains, Operating systems"
0,1,1,0,8,11,0,0,1,1,0,1,1,"Computer systems organization, Embedded and cyber-physical systems, Embedded systems"
0,1,1,0,19,8,1,0,1,1,0,1,1,"Computer systems organization, Architectures, Other architectures, Data flow architectures, Reconfigurable computing, Parallel architectures, Multicore architectures"
0,1,1,0,11,4,0,0,1,1,0,1,1,"Networks, Network components, End nodes, Middle boxes / network appliances, Network services, Programmable networks, Network types, Data center networks, Software and its engineering, Software notations and tools, Compilers, Dynamic compilers, Just-in-time compilers, Source code generation"
0,1,1,0,6,8,0,0,1,1,0,1,1,"Security and privacy, Security in hardware, Embedded systems security"
0,1,1,0,2,5,0,0,0,1,0,0,1,"Software and its engineering, Software notations and tools, Compilers"
0,1,1,1,3,3,2,0,1,1,0,1,1,"Hardware, Electronic design automation, High-level and register-transfer level synthesis, Hardware validation, Post-manufacture validation and debug, Bug fixing (hardware), Software and its engineering, Software creation and management, Search-based software engineering"
0,1,1,0,11,2,0,0,0,1,0,1,1,"Security and privacy, Systems security, Operating systems security, Software and its engineering, Software organization and properties, Contextual software domains, Operating systems"
0,1,1,0,12,5,0,0,1,1,0,1,1,"Computer systems organization, Dependable and fault-tolerant systems and networks, Processors and memory architectures"
0,1,1,0,10,6,0,0,0,1,0,1,1,"Hardware, Emerging technologies, Memory and dense storage, Software and its engineering, Software creation and management, Software verification and validation, Software defect analysis, Software testing and debugging"
0,1,1,0,14,1,1,0,0,1,0,0,1,"Computer systems organization, Architectures, Distributed architectures, Cloud computing, n-tier architectures, General and reference, Cross-computing tools and techniques, Performance"
0,1,1,0,9,5,1,0,0,1,0,1,1,"Computer systems organization, Architectures, Other architectures, Heterogeneous (hybrid) systems, Software and its engineering, Software creation and management, Software development techniques, Error handling and recovery, Software verification and validation, Software defect analysis, Software testing and debugging"
0,1,1,0,10,3,0,0,0,1,0,1,1,"Security and privacy, Security in hardware, Hardware attacks and countermeasures, Side-channel analysis and countermeasures"
0,1,1,0,19,4,3,0,0,1,0,0,1,"Software and its engineering, Software notations and tools, Compilers"
0,1,1,0,12,1,0,0,0,1,0,1,1,"Computer systems organization, Architectures, Other architectures, Heterogeneous (hybrid) systems, Hardware, Integrated circuits, Reconfigurable logic and FPGAs, Software and its engineering, Software organization and properties, Contextual software domains, Operating systems"
0,1,1,0,10,1,0,0,0,1,0,1,1,"Computer systems organization, Architectures, Security and privacy, Systems security, Operating systems security, Software and its engineering, Software organization and properties, Contextual software domains, Operating systems, Communications management, Process management"
0,1,1,0,12,3,6,0,1,1,0,0,1,"Software and its engineering, Software creation and management, Software verification and validation, Theory of computation, Semantics and reasoning, Program reasoning, Program analysis, Theory and algorithms for application domains"
0,1,1,0,15,5,0,0,1,1,0,1,1,"Computer systems organization, Architectures, Distributed architectures, Cloud computing, Software and its engineering, Software organization and properties, Contextual software domains, Operating systems"
0,1,1,0,6,5,0,0,1,1,0,1,1,"Security and privacy, Security in hardware, Hardware attacks and countermeasures, Side-channel analysis and countermeasures"
0,1,1,0,9,5,0,0,1,1,0,1,1,"Computer systems organization, Architectures, Security and privacy, Security in hardware, Hardware attacks and countermeasures, Side-channel analysis and countermeasures"
0,1,1,0,16,4,1,2,1,1,0,1,1,"Computer systems organization, Architectures, Distributed architectures, Cloud computing, Software and its engineering, Software organization and properties, Software system structures, Distributed systems organizing principles, Cloud computing"
0,1,0,0,1,0,0,0,1,1,0,0,1,"Security and privacy, Security in hardware"
0,1,1,0,19,1,0,0,1,1,0,1,1,"Security and privacy, Software and application security, Systems security"
0,1,1,0,17,0,0,0,0,1,0,1,1,"Networks, Network components, End nodes, Network adapters"
0,1,1,0,6,5,0,0,1,1,0,1,1,"Computer systems organization, Architectures, Parallel architectures, Computing methodologies, Parallel computing methodologies, Parallel algorithms, Shared memory algorithms, Parallel programming languages"
0,1,1,0,3,2,0,2,1,1,0,1,1,"Hardware, Integrated circuits, Reconfigurable logic and FPGAs, Software and its engineering, Software creation and management, Software verification and validation, Software defect analysis, Software testing and debugging"
2,1,1,0,15,0,4,0,1,0,0,1,1,"Computing methodologies, Modeling and simulation, Simulation support systems, Simulation languages, Simulation types and techniques, Agent / discrete models, Discrete-event simulation"
0,1,1,0,6,3,0,0,0,0,1,0,1,"Software and its engineering, Software notations and tools, Development frameworks and environments, Object oriented frameworks, Software organization and properties, Software system structures, Abstraction, modeling and modularity"
0,1,1,0,2,4,0,0,0,0,1,1,1,"Software and its engineering, Software notations and tools, Context specific languages, Scripting languages, General programming languages, Language features, Patterns"
0,1,1,0,17,3,0,0,0,0,1,0,1,"Software and its engineering, Software notations and tools, Context specific languages, Domain specific languages, Graphical user interface languages, Visual languages, Formal language definitions, Syntax"
0,1,0,0,4,2,2,0,0,0,1,1,1,"Software and its engineering, Software creation and management, Software verification and validation, Software defect analysis, Software testing and debugging, Software notations and tools, Compilers, Parsers, Formal language definitions, Syntax, Theory of computation, Formal languages and automata theory, Grammars and context-free languages"
0,1,1,0,10,0,2,0,0,0,1,1,1,"Software and its engineering, Software notations and tools, Compilers, Parsers"
1,1,1,0,18,4,1,4,0,1,1,0,1,
0,1,1,0,17,4,0,0,1,1,1,1,1,
0,1,1,0,16,4,0,0,1,1,1,1,1,"Computer systems organization, Architectures, Other architectures, Data flow architectures, Special purpose systems, Parallel architectures, Multicore architectures"
0,1,0,0,8,5,2,0,0,0,1,1,1,"Computing methodologies, Parallel computing methodologies, Parallel algorithms, Theory of computation, Design and analysis of algorithms, Data structures design and analysis, Data compression"
3,1,0,0,2,3,0,0,0,1,1,0,1,"Computing methodologies, Distributed computing methodologies, Machine learning, Machine learning approaches, Modeling and simulation, Simulation evaluation"
3,1,1,1,8,6,2,3,1,1,1,1,1,"General and reference, Cross-computing tools and techniques, Performance, Hardware, Integrated circuits, Reconfigurable logic and FPGAs, Hardware accelerators"
0,1,1,0,15,3,0,1,1,1,1,1,1,"Software and its engineering, Software notations and tools, Compilers, Runtime environments"
0,1,0,0,6,3,4,6,1,1,1,1,1,
0,1,1,0,17,0,3,0,0,1,1,1,1,"Applied computing, Life and medical sciences, Bioinformatics, Computational biology, Computational genomics, Computing methodologies, Parallel computing methodologies, Parallel algorithms, Self-organization"
1,1,1,1,6,2,7,1,1,1,1,1,1,"Computing methodologies, Machine learning, Machine learning approaches, Learning in probabilistic graphical models, Bayesian network models"
4,1,1,0,2,3,2,1,0,1,1,0,1,"Computing methodologies, Machine learning, Machine learning approaches, Neural networks, Software and its engineering, Software notations and tools, Compilers"
1,1,1,0,1,0,1,0,0,1,1,1,1,"Computer systems organization, Dependable and fault-tolerant systems and networks, Redundancy, Mathematics of computing, Information theory, Coding theory, Software and its engineering, Software notations and tools, Compilers, Context specific languages"
0,1,1,1,13,8,5,0,1,1,1,1,1,"Computing methodologies, Machine learning, Machine learning approaches, Neural networks, Parallel computing methodologies, Parallel algorithms, Shared memory algorithms, Symbolic and algebraic manipulation, Symbolic and algebraic algorithms, Algebraic algorithms, Symbolic calculus algorithms, Mathematics of computing, Mathematical software, Mathematical software performance"
0,1,1,1,10,0,6,0,0,1,1,1,1,Computing methodologies
0,1,1,0,20,2,0,0,1,1,1,1,1,"Hardware, Communication hardware, interfaces and storage, Networking hardware, Networks, Network protocols, Network protocol design"
1,1,0,0,11,1,0,0,1,1,1,1,1,"Security and privacy, Systems security, Operating systems security, Software and its engineering, Software organization and properties, Contextual software domains, Operating systems"
0,1,1,0,18,1,0,0,0,1,1,1,1,"Computer systems organization, Architectures, Computing methodologies, Distributed computing methodologies, Networks, Network performance evaluation, Network protocols"
3,1,0,1,12,1,2,0,0,1,1,1,1,"Mathematics of computing, Mathematical analysis, Differential equations, Partial differential equations"
1,1,1,0,22,4,1,1,1,1,1,1,1,
