gs_citations,is_intro_pres,is_meth_pres,is_res_pres,no_images,no_tables,no_alg,no_equations,fund_avail,accept_avail,suppl_info,link_to_code,target
1,1,1,0,15,0,1,0,0,0,0,1,2
0,1,1,0,12,2,4,0,0,0,0,1,2
0,1,1,0,16,2,1,0,0,0,0,1,2
0,1,1,0,12,5,0,0,1,0,0,1,2
0,1,1,0,2,4,0,4,0,0,0,1,2
0,1,1,0,6,7,0,0,0,0,0,1,2
0,1,1,0,7,5,0,0,0,0,0,1,2
0,1,1,0,14,5,1,0,1,0,0,0,2
0,1,1,0,4,5,0,0,1,0,0,1,2
0,1,1,0,4,3,2,0,0,0,0,1,2
0,1,1,0,6,5,3,0,0,0,0,1,2
0,1,1,0,0,3,0,4,0,0,0,1,2
0,1,1,0,3,1,0,0,1,0,0,1,2
0,0,0,0,1,2,0,0,1,0,0,1,2
0,0,0,0,2,3,3,0,1,0,0,1,2
0,0,0,0,6,3,0,0,1,0,1,1,2
0,1,0,0,0,0,0,0,0,0,0,1,2
0,0,1,0,3,0,0,0,1,0,1,1,2
0,1,1,1,1,3,0,0,0,0,0,1,2
0,1,0,0,2,3,0,0,0,0,0,1,2
0,1,1,1,21,4,1,0,1,0,0,1,2
0,1,1,1,17,9,2,4,1,0,0,1,2
0,1,1,0,16,2,0,0,1,0,1,1,2
0,1,1,0,2,4,8,1,1,0,1,0,2
0,1,1,0,17,3,0,0,0,0,1,1,2
0,1,1,1,5,10,0,0,0,0,1,1,2
0,1,1,0,0,1,0,0,1,0,1,1,2
0,1,1,0,8,2,1,2,1,0,1,0,2
0,1,1,0,5,1,0,0,0,0,1,1,2
0,1,1,0,11,9,0,0,1,0,1,1,2
0,1,0,0,0,0,0,46,0,0,1,1,2
0,1,1,1,10,0,0,0,1,0,1,1,2
0,1,1,0,12,6,0,0,0,0,1,1,2
0,1,1,0,20,0,0,0,1,0,1,0,2
0,1,1,0,6,3,1,0,1,0,1,0,2
0,1,1,0,0,0,0,0,1,0,1,0,2
0,1,1,0,8,6,4,0,1,0,1,0,2
0,1,1,0,17,3,0,0,1,0,1,1,2
4,1,1,0,2,1,0,0,0,0,1,0,2
1,1,0,0,0,1,0,0,1,0,1,0,2
6,1,1,0,12,1,2,0,0,0,0,1,2
0,1,0,0,7,0,2,1,1,0,0,1,2
1,1,1,0,4,5,0,0,1,0,0,1,2
0,1,1,0,1,1,0,0,0,0,1,1,2
0,1,1,0,3,0,1,0,1,0,1,0,2
0,1,1,0,10,1,0,2,1,0,1,0,2
0,1,1,0,2,0,1,0,1,0,1,0,2
0,1,1,1,0,3,0,10,1,0,1,0,2
0,1,1,0,0,0,0,16,1,0,1,0,2
2,1,1,0,3,0,0,0,1,0,1,1,2
0,1,1,0,4,0,0,0,0,0,1,0,2
1,1,1,0,0,2,0,1,1,0,1,1,2
1,1,1,0,1,2,0,0,1,0,1,0,2
0,1,1,0,10,0,1,0,0,0,1,1,2
0,1,1,0,0,0,0,0,1,0,1,1,2
1,1,1,0,13,0,0,0,0,0,1,1,2
0,1,0,0,3,0,0,0,0,0,0,1,2
0,1,1,0,4,1,0,0,0,0,0,0,2
1,1,1,0,4,0,0,0,1,0,0,1,2
0,1,1,0,4,0,1,1,0,0,0,1,2
1,1,1,0,1,0,1,0,0,0,0,1,2
1,1,1,0,10,0,0,0,0,0,0,0,2
1,1,1,0,4,1,0,0,1,0,0,1,2
0,1,1,0,3,2,0,0,0,0,0,1,2
0,1,1,0,7,3,3,0,1,0,1,1,2
0,1,0,0,5,3,2,0,1,0,0,1,2
0,1,1,0,3,4,0,0,0,0,0,1,2
5,1,0,1,12,2,0,0,0,0,0,1,2
0,1,1,0,9,3,0,0,1,0,0,1,2
4,1,1,0,6,3,0,0,0,0,0,1,2
0,1,1,0,4,9,0,0,1,0,0,1,2
1,1,1,0,1,6,0,3,1,0,0,1,2
1,1,1,1,7,7,0,0,0,0,0,1,2
0,1,1,1,8,3,0,0,0,0,0,1,2
0,1,1,0,6,3,0,0,0,0,0,1,2
5,1,1,1,4,2,1,3,0,0,0,1,2
1,1,1,0,7,12,0,0,1,0,0,1,2
0,1,1,0,2,5,0,9,1,0,0,1,2
0,1,1,0,4,3,0,0,1,0,0,1,2
0,1,1,0,0,2,0,0,1,0,0,0,2
0,1,1,0,10,3,0,0,0,0,0,1,2
1,1,1,1,12,3,2,0,0,0,0,1,2
0,1,1,1,4,8,0,0,1,0,0,1,2
2,1,1,0,7,3,0,0,0,0,0,1,2
0,1,1,0,11,2,4,4,1,0,0,1,2
0,1,1,0,10,1,0,0,1,0,1,1,2
0,1,1,1,10,3,2,2,1,0,1,1,2
2,1,1,0,18,0,0,10,1,0,1,1,2
0,1,1,0,4,9,0,0,1,0,1,1,2
0,1,1,0,16,0,0,4,1,0,1,1,2
1,1,1,0,12,5,0,0,0,0,1,1,2
0,1,1,0,11,7,2,29,1,0,1,1,2
0,1,1,0,17,2,1,0,1,0,1,1,2
4,1,1,0,15,1,1,2,1,0,1,1,2
0,1,1,0,21,1,0,0,1,0,1,1,2
0,1,1,0,8,3,4,0,0,0,0,1,2
3,1,1,0,9,3,0,0,0,0,0,0,2
0,1,1,0,7,3,2,0,1,0,0,1,2
0,1,1,0,3,9,1,0,0,0,0,1,2
0,1,0,0,1,0,0,0,1,0,0,0,2
2,1,1,1,12,4,0,0,1,0,0,1,2
1,1,1,0,10,2,2,2,1,0,0,1,2
0,1,1,0,7,4,1,4,0,0,0,0,2
0,1,1,0,8,5,1,0,0,0,0,1,2
0,1,1,0,12,6,0,0,0,0,0,1,2
0,1,1,0,9,5,4,0,1,0,0,1,2
3,1,1,0,3,7,0,0,0,0,0,1,2
6,1,0,0,5,7,2,0,0,0,0,1,2
0,1,1,0,2,5,0,0,0,0,0,1,2
1,1,1,0,10,4,3,0,0,0,0,0,2
1,1,1,0,13,1,0,0,1,0,0,0,2
1,1,1,0,7,0,0,0,0,0,0,1,2
1,1,1,0,6,1,0,0,1,0,0,1,2
2,1,0,0,8,0,1,0,0,0,0,0,2
4,1,1,0,10,6,4,0,1,0,0,0,2
6,1,1,0,7,0,0,0,1,0,0,1,2
0,1,1,0,3,10,1,0,1,0,0,0,2
1,1,1,0,6,9,2,4,1,0,0,0,2
2,1,1,0,5,0,0,0,0,0,1,1,2
4,1,1,0,6,15,0,4,1,0,1,0,2
4,1,1,0,6,2,0,0,0,0,0,1,2
4,1,1,0,9,5,1,0,1,0,0,1,2
6,1,1,0,6,2,0,0,0,0,0,1,2
2,1,1,0,16,3,2,5,0,0,0,0,2
3,1,0,0,12,3,0,7,0,0,0,0,2
0,1,1,0,3,0,0,0,1,0,0,1,2
0,1,1,0,12,9,0,0,0,0,0,1,2
7,1,1,0,10,5,0,0,0,0,0,1,2
0,1,1,0,7,3,1,0,0,0,0,0,2
4,1,1,0,10,2,1,0,1,0,0,1,2
7,1,1,0,11,2,0,0,0,0,0,1,2
3,1,1,0,9,2,0,1,0,0,0,1,2
1,1,1,0,14,0,1,0,0,0,0,0,2
3,1,1,0,14,9,0,0,0,0,0,0,2
5,1,1,0,6,3,0,3,0,0,0,1,2
