gs_citations,is_intro_pres,is_meth_pres,is_res_pres,no_images,no_tables,no_alg,no_equations,fund_avail,accept_avail,suppl_info,link_to_code,target
1,1,1,0,10,2,0,0,0,1,0,1,1
0,1,1,0,8,11,0,0,1,1,0,1,1
0,1,1,0,19,8,1,0,1,1,0,1,1
0,1,1,0,11,4,0,0,1,1,0,1,1
0,1,1,0,6,8,0,0,1,1,0,1,1
0,1,1,0,2,5,0,0,0,1,0,0,1
0,1,1,1,3,3,2,0,1,1,0,1,1
0,1,1,0,11,2,0,0,0,1,0,1,1
0,1,1,0,12,5,0,0,1,1,0,1,1
0,1,1,0,10,6,0,0,0,1,0,1,1
0,1,1,0,14,1,1,0,0,1,0,0,1
0,1,1,0,9,5,1,0,0,1,0,1,1
0,1,1,0,10,3,0,0,0,1,0,1,1
0,1,1,0,19,4,3,0,0,1,0,0,1
0,1,1,0,12,1,0,0,0,1,0,1,1
0,1,1,0,10,1,0,0,0,1,0,1,1
0,1,1,0,12,3,6,0,1,1,0,0,1
0,1,1,0,15,5,0,0,1,1,0,1,1
0,1,1,0,6,5,0,0,1,1,0,1,1
0,1,1,0,9,5,0,0,1,1,0,1,1
0,1,1,0,16,4,1,2,1,1,0,1,1
0,1,0,0,1,0,0,0,1,1,0,0,1
0,1,1,0,19,1,0,0,1,1,0,1,1
0,1,1,0,17,0,0,0,0,1,0,1,1
0,1,1,0,6,5,0,0,1,1,0,1,1
0,1,1,0,3,2,0,2,1,1,0,1,1
2,1,1,0,15,0,4,0,1,0,0,1,1
0,1,1,0,6,3,0,0,0,0,1,0,1
0,1,1,0,2,4,0,0,0,0,1,1,1
0,1,1,0,17,3,0,0,0,0,1,0,1
0,1,0,0,4,2,2,0,0,0,1,1,1
0,1,1,0,10,0,2,0,0,0,1,1,1
1,1,1,0,18,4,1,4,0,1,1,0,1
0,1,1,0,17,4,0,0,1,1,1,1,1
0,1,1,0,16,4,0,0,1,1,1,1,1
0,1,0,0,8,5,2,0,0,0,1,1,1
3,1,0,0,2,3,0,0,0,1,1,0,1
3,1,1,1,8,6,2,3,1,1,1,1,1
0,1,1,0,15,3,0,1,1,1,1,1,1
0,1,0,0,6,3,4,6,1,1,1,1,1
0,1,1,0,17,0,3,0,0,1,1,1,1
1,1,1,1,6,2,7,1,1,1,1,1,1
4,1,1,0,2,3,2,1,0,1,1,0,1
1,1,1,0,1,0,1,0,0,1,1,1,1
0,1,1,1,13,8,5,0,1,1,1,1,1
0,1,1,1,10,0,6,0,0,1,1,1,1
0,1,1,0,20,2,0,0,1,1,1,1,1
1,1,0,0,11,1,0,0,1,1,1,1,1
0,1,1,0,18,1,0,0,0,1,1,1,1
3,1,0,1,12,1,2,0,0,1,1,1,1
1,1,1,0,22,4,1,1,1,1,1,1,1
1,1,1,1,13,2,0,0,1,1,1,0,1
2,1,1,0,15,2,0,2,1,1,1,0,1
2,1,1,1,10,6,1,3,0,1,1,1,1
1,1,1,0,12,2,0,0,1,1,1,1,1
1,1,1,0,10,3,0,0,0,1,1,0,1
4,1,1,1,6,0,0,22,1,1,1,1,1
0,1,1,0,17,3,0,4,1,1,1,1,1
2,1,1,1,11,3,2,4,1,1,1,1,1
1,1,1,0,14,2,2,0,1,1,1,1,1
2,1,1,0,15,0,3,0,1,1,1,1,1
3,1,1,0,8,4,0,0,1,1,0,1,1
0,1,1,0,11,4,4,0,0,1,1,1,1
0,1,0,0,6,0,0,0,1,1,1,1,1
3,1,0,0,13,4,0,2,1,1,1,1,1
0,1,1,1,11,8,6,0,1,1,1,1,1
0,1,1,0,9,6,2,3,0,1,1,1,1
2,1,1,0,23,3,0,3,1,1,1,1,1
1,1,1,0,10,0,0,12,1,1,1,0,1
0,1,1,0,15,4,1,0,0,1,1,1,1
0,1,1,0,14,4,0,0,0,1,0,1,1
0,1,1,0,12,1,0,0,0,1,0,0,1
0,1,1,0,16,1,2,6,1,1,0,1,1
0,1,1,0,12,0,0,1,1,1,0,1,1
0,1,1,0,9,1,0,0,1,1,0,1,1
1,1,1,0,12,3,0,0,0,1,0,1,1
1,1,1,0,3,6,0,0,0,1,0,1,1
2,1,1,0,10,4,0,0,0,1,0,1,1
0,1,0,0,0,0,0,0,1,1,0,0,1
1,1,1,0,10,5,2,0,1,1,0,1,1
0,1,1,0,11,7,2,0,1,1,0,1,1
2,1,1,0,10,2,0,0,0,1,0,1,1
0,1,1,0,10,3,0,0,0,1,0,1,1
0,1,1,0,15,4,1,0,0,1,0,1,1
0,1,1,0,13,1,0,1,1,1,0,1,1
3,1,1,0,8,2,2,0,1,1,0,0,1
3,1,1,0,9,6,0,0,1,1,0,0,1
0,1,1,0,10,2,0,0,0,1,0,0,1
1,1,1,0,7,0,1,0,0,1,0,1,1
2,1,1,0,14,6,0,0,1,1,0,1,1
0,1,1,0,14,1,0,0,0,1,0,1,1
3,1,1,0,14,9,0,0,0,1,0,1,1
3,1,1,0,13,6,1,0,1,1,0,0,1
0,1,1,0,13,5,1,3,1,1,0,0,1
0,1,1,1,8,1,0,2,0,1,0,1,1
2,1,0,0,14,3,0,0,1,1,0,0,1
1,1,1,0,10,6,2,0,0,1,0,1,1
0,1,1,1,10,1,1,2,1,1,0,1,1
3,1,1,1,23,8,3,0,0,1,0,1,1
0,1,1,0,10,5,1,0,1,1,0,1,1
0,1,1,0,17,3,1,0,1,1,0,1,1
1,1,1,1,6,0,0,0,0,1,0,1,1
1,1,1,0,11,1,0,0,0,1,0,1,1
0,1,1,0,11,4,1,1,0,1,0,1,1
0,1,1,0,9,3,0,0,1,1,0,1,1
1,1,1,1,9,4,2,0,1,1,0,0,1
1,1,1,0,13,4,0,38,1,1,0,1,1
1,1,1,0,13,5,0,0,1,1,0,1,1
3,1,1,0,10,4,0,5,0,1,0,1,1
1,1,1,1,13,2,0,0,0,1,0,1,1
0,1,1,0,20,3,0,0,1,1,0,0,1
1,1,1,1,11,1,0,0,0,1,0,0,1
3,1,1,0,2,0,0,0,0,1,0,1,1
3,1,1,0,27,1,0,0,0,1,0,1,1
6,1,1,0,10,2,0,0,0,1,0,1,1
1,1,1,1,3,1,1,0,0,1,0,1,1
0,1,1,0,6,2,3,0,0,1,0,1,1
1,1,0,0,17,2,0,0,0,1,0,1,1
9,1,1,0,12,1,0,0,0,1,0,1,1
4,1,0,1,12,1,0,0,0,1,0,1,1
5,1,1,1,14,1,2,11,0,1,0,1,1
2,1,1,0,6,1,0,0,0,1,0,0,1
4,1,1,0,3,4,2,0,0,1,0,1,1
1,1,1,0,12,1,5,0,1,1,0,1,1
1,1,1,0,4,2,0,1,1,0,0,1,1
1,1,1,1,5,2,0,0,0,1,1,1,1
8,1,1,0,4,1,0,0,1,1,1,1,1
0,1,1,1,2,11,0,0,1,1,1,1,1
